Becher - 3dl,2.5
Flasche - 5dl,3
Flasche - 1l,6
Flasche - 1.5l,7
Kaffee,2
Espresso,2.5
Tee,2.5
Bier,4
Edelfalken,3.2
Alkoholfrei,3.8
Suremost,3.8
Loehninger Sommerflirt,14
Loehninger Sommerwind,14
Loehninger Riesl. Sylvan.,14
Gaechlinger Blauburgunder,14
